Time [s];Altitude [ft];Latitude [°];Longitude [°]
151,2;761;NaN;NaN
151,5;758;NaN;NaN
151,8;755;NaN;NaN
152;748;NaN;NaN
152,2;738;NaN;NaN
152,5;735;NaN;NaN
152,8;732;NaN;NaN
153;725;NaN;NaN
153,2;722;NaN;NaN
153,5;719;NaN;NaN
153,8;715;NaN;NaN
154;709;NaN;NaN
154,2;705;NaN;NaN
154,5;702;NaN;NaN
154,8;702;NaN;NaN
155;692;NaN;NaN
155,2;686;NaN;NaN
155,5;682;NaN;NaN
155,8;682;NaN;NaN
156;679;NaN;NaN
156,2;679;NaN;NaN
156,5;676;NaN;NaN
156,8;673;NaN;NaN
157;669;NaN;NaN
157,2;666;NaN;NaN
157,5;663;NaN;NaN
157,8;659;NaN;NaN
158;653;NaN;NaN
158,2;650;NaN;NaN
158,5;643;NaN;NaN
158,8;643;NaN;NaN
159;636;NaN;NaN
159,2;633;NaN;NaN
159,5;630;NaN;NaN
159,8;627;NaN;NaN
160;623;NaN;NaN
160,2;620;NaN;NaN
160,5;617;NaN;NaN
160,8;614;NaN;NaN
161;610;NaN;NaN
161,2;607;NaN;NaN
161,5;600;NaN;NaN
161,8;597;NaN;NaN
162;591;NaN;NaN
162,2;584;NaN;NaN
162,5;571;NaN;NaN
162,8;568;NaN;NaN
163;561;NaN;NaN
163,2;554;NaN;NaN
163,5;551;NaN;NaN
163,8;545;NaN;NaN
164;538;NaN;NaN
164,2;531;NaN;NaN
164,5;528;NaN;NaN
164,8;522;NaN;NaN
165;515;NaN;NaN
165,2;512;NaN;NaN
165,5;505;NaN;NaN
165,8;502;NaN;NaN
166;495;NaN;NaN
166,2;495;NaN;NaN
166,5;489;NaN;NaN
166,8;486;NaN;NaN
167;482;NaN;NaN
167,2;479;NaN;NaN
167,5;476;NaN;NaN
167,8;472;NaN;NaN
168;469;NaN;NaN
168,2;466;NaN;NaN
168,5;463;NaN;NaN
168,8;459;NaN;NaN
169;459;NaN;NaN
169,2;456;NaN;NaN
169,5;453;NaN;NaN
169,8;449;NaN;NaN
170;446;NaN;NaN
170,2;443;NaN;NaN
170,5;436;NaN;NaN
170,8;430;NaN;NaN
171;427;NaN;NaN
171,2;423;NaN;NaN
171,5;423;NaN;NaN
171,8;417;NaN;NaN
172;413;NaN;NaN
172,2;407;NaN;NaN
172,5;407;NaN;NaN
172,8;400;NaN;NaN
173;394;NaN;NaN
173,2;390;NaN;NaN
173,5;387;NaN;NaN
173,8;381;NaN;NaN
174;377;NaN;NaN
174,2;374;NaN;NaN
174,5;371;NaN;NaN
174,8;367;NaN;NaN
175;361;NaN;NaN
175,2;358;NaN;NaN
175,5;351;NaN;NaN
175,8;348;NaN;NaN
176;341;NaN;NaN
176,2;335;NaN;NaN
176,5;328;NaN;NaN
176,8;318;NaN;NaN
177;312;NaN;NaN
177,2;302;NaN;NaN
177,5;299;NaN;NaN
177,8;289;NaN;NaN
178;282;NaN;NaN
178,2;276;NaN;NaN
178,5;266;NaN;NaN
178,8;262;NaN;NaN
179;253;NaN;NaN
179,2;246;NaN;NaN
179,5;240;NaN;NaN
179,8;230;NaN;NaN
180;226;NaN;NaN
180,2;217;NaN;NaN
180,5;210;NaN;NaN
180,8;203;NaN;NaN
181;197;NaN;NaN
181,2;190;NaN;NaN
181,5;184;NaN;NaN
181,8;177;NaN;NaN
182;171;NaN;NaN
182,2;164;NaN;NaN
182,5;157;NaN;NaN
182,8;151;NaN;NaN
183;144;NaN;NaN
183,2;138;NaN;NaN
183,5;131;NaN;NaN
183,8;125;NaN;NaN
184;125;NaN;NaN
184,2;118;NaN;NaN
184,5;112;NaN;NaN
184,8;108;NaN;NaN
185;105;NaN;NaN
185,2;102;NaN;NaN
185,5;95;NaN;NaN
185,8;92;NaN;NaN
186;92;NaN;NaN
186,2;89;NaN;NaN
186,5;85;NaN;NaN
186,8;82;NaN;NaN
187;75;NaN;NaN
187,2;75;NaN;NaN
187,5;69;NaN;NaN
187,8;66;NaN;NaN
188;59;NaN;NaN
188,2;56;NaN;NaN
188,5;49;NaN;NaN
188,8;46;NaN;NaN
189;43;NaN;NaN
189,2;36;NaN;NaN
189,5;30;NaN;NaN
189,8;26;NaN;NaN
190;23;NaN;NaN
190,2;20;NaN;NaN
190,5;16;NaN;NaN
190,8;13;NaN;NaN
191;10;NaN;NaN
191,2;10;NaN;NaN
191,5;7;NaN;NaN
191,8;7;NaN;NaN
192;7;NaN;NaN
192,2;3;NaN;NaN
192,5;3;NaN;NaN
192,8;3;NaN;NaN
193;3;NaN;NaN
193,2;3;NaN;NaN
193,5;3;NaN;NaN
193,8;3;NaN;NaN
194;3;NaN;NaN
194,2;3;NaN;NaN
194,5;3;NaN;NaN
194,8;7;NaN;NaN
195;7;NaN;NaN
195,2;7;NaN;NaN
195,5;7;NaN;NaN
195,8;7;NaN;NaN
196;7;NaN;NaN
196,2;7;NaN;NaN
196,5;7;NaN;NaN
196,8;7;NaN;NaN
197;7;NaN;NaN
197,2;7;NaN;NaN
197,5;7;NaN;NaN
197,8;7;NaN;NaN
198;7;NaN;NaN
198,2;7;NaN;NaN
198,5;7;NaN;NaN
198,8;7;NaN;NaN
199;7;NaN;NaN
199,2;7;NaN;NaN
199,5;7;NaN;NaN
199,8;7;NaN;NaN
200;7;NaN;NaN
200,2;7;NaN;NaN
200,5;7;NaN;NaN
200,8;7;NaN;NaN
201;7;NaN;NaN
201,2;7;NaN;NaN
201,5;7;NaN;NaN
201,8;7;NaN;NaN
202;7;NaN;NaN
202,2;7;NaN;NaN
202,5;7;NaN;NaN
202,8;7;NaN;NaN
203;7;NaN;NaN
203,2;7;NaN;NaN
203,5;7;NaN;NaN
203,8;7;NaN;NaN
204;7;NaN;NaN
204,2;7;NaN;NaN
204,5;7;NaN;NaN
204,8;7;NaN;NaN
205;7;NaN;NaN
205,2;7;NaN;NaN
205,5;7;NaN;NaN
205,8;7;NaN;NaN
206;7;NaN;NaN
206,2;7;NaN;NaN
206,5;7;NaN;NaN
206,8;7;NaN;NaN
207;7;NaN;NaN
207,2;7;NaN;NaN
