millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,accel,temp,press,num_satellites
# { "g_press": 100892.45, "g_temp": 23.27, "datetime": "2022-10-16T14:42:20Z", "fw_version": "0.4.1-gps-testing+git-7ae69c7" }
# Switched to mode: Climb
797200,464400901,-726825088,2009158,2044.9092,64289,-4745,2970520,,27.36,79278,15
797256,464401183,-726824859,2009424,2045.3632,64219,-4696,2939104,,27.36,79274,15
797312,464401464,-726824628,2009679,2045.7437,64212,-4447,2950126,,27.36,79270,15
797368,464401744,-726824398,2010002,2046.0018,64159,-4731,2966758,,27.36,79268,15
797424,464402025,-726824171,2010255,2046.4558,63993,-4662,2919693,,27.36,79264,15
797480,464402306,-726823941,2010533,2046.5101,64184,-4650,2942503,,27.36,79263,15
797536,464402587,-726823709,2010793,2046.5101,64246,-4535,2955250,,27.36,79263,15
797592,464402870,-726823478,2011069,2046.9233,64423,-4806,2947272,,27.36,79259,15
797648,464403149,-726823254,2011377,2047.2278,63909,-4423,2909993,,27.36,79256,15
797704,464403430,-726823026,2011661,2047.5648,64048,-4624,2923256,,27.36,79253,15
797760,464403711,-726822798,2011990,2047.9916,64171,-4873,2938447,,27.36,79249,15
797816,464403991,-726822570,2012292,2048.2144,64084,-4611,2935656,,27.36,79247,15
797872,464404271,-726822342,2012598,2048.2688,63950,-4746,2941262,,27.36,79246,15
797928,464404551,-726822115,2012900,2048.5352,64020,-4812,2938811,,27.36,79244,15
797984,464404834,-726821888,2013196,2048.9292,64253,-4991,2912223,,27.36,79240,15
798040,464405116,-726821661,2013478,2049.2527,64114,-4839,2922051,,27.36,79237,15
798096,464405398,-726821431,2013722,2049.2527,64179,-4784,2941938,,27.36,79237,14
798152,464405681,-726821202,2013951,2049.424,64234,-4633,2923525,,27.36,79235,14
798208,464405962,-726820977,2014280,2049.598,64094,-4975,2922335,,27.36,79233,14
798264,464406243,-726820749,2014572,2050.2258,64144,-4796,2940547,,27.36,79227,14
798320,464406524,-726820523,2014869,2050.6663,64055,-4929,2925890,,27.36,79223,14
798376,464406806,-726820297,2015177,2050.9,64137,-4939,2919053,,27.37,79221,14
798432,464407088,-726820071,2015433,2051.2153,63992,-4700,2899135,,27.37,79218,14
798488,464407370,-726819843,2015687,2051.5903,64028,-4659,2930760,,27.37,79214,15
798544,464407653,-726819615,2015948,2051.7996,64288,-4791,2924082,,27.37,79212,15
798600,464407934,-726819389,2016237,2052.395,64011,-4992,2912737,,27.37,79207,15
798656,464408216,-726819163,2016527,2052.395,64065,-4804,2910103,,27.37,79207,15
798712,464408499,-726818935,2016782,2053.0173,64204,-4737,2926407,,27.36,79201,15
798768,464408782,-726818709,2017105,2053.3816,64367,-4946,2915431,,27.36,79197,15
798824,464409064,-726818482,2017370,2053.3896,64198,-4811,2912531,,27.37,79197,15
798880,464409346,-726818256,2017646,2053.6833,64066,-4791,2915836,,27.36,79194,15
798936,464409629,-726818029,2017917,2054.015,64142,-4740,2920402,,27.37,79191,15
798992,464409911,-726817803,2018178,2054.3464,64150,-4820,2907365,,27.37,79188,15
799048,464410194,-726817577,2018476,2054.5422,64282,-4928,2907352,,27.37,79186,15
